File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_2_1,5315,2,1,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0755,44,44,40,34,10,4,0.8,0.91,0.77,0.9,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1167,44,44,43,35,9,1,0.83,0.98,0.80,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_25,8014,1,25,6 states,8 symbols,214,6,1,61,0.1734,6,5,804,8922,SAT,0.1966,100,100,44,100,0,56,1.0,0.44,1.0,0.6,0.7,0.7,0.7072368421052632,85.71,0.0,,6,5,804,8922,SAT,0.3166,100,100,68,100,0,32,1.00,0.68,1.00,0.80,0.80,0.80,0.7072368421052632
coffeemachine_4_0,8307,4,0,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0758,44,44,31,38,6,13,0.84,0.7,0.86,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1107,44,44,38,32,12,6,0.76,0.86,0.73,0.80,0.80,0.80,0.41666666666666663
coffeemachine_5_1,6578,5,1,6 states,8 symbols,58,3,3,26,0.0112,5,4,435,3717,SAT,0.0722,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1114,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.41666666666666663
coffeemachine_4_1,8307,4,1,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0745,44,44,31,38,6,13,0.84,0.7,0.86,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1049,44,44,38,32,12,6,0.76,0.86,0.73,0.80,0.80,0.80,0.41666666666666663
coffeemachine_6_6,9998,6,6,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0769,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1301,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0916,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1155,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.41666666666666663
coffeemachine_7_3,8829,7,3,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0729,44,44,36,39,5,8,0.88,0.82,0.89,0.8,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1010,44,44,43,38,6,1,0.88,0.98,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_3_6,5795,3,6,6 states,8 symbols,58,3,3,26,0.0112,5,4,435,3717,SAT,0.0727,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1090,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.41666666666666663
coffeemachine_5_100,2212,5,100,6 states,8 symbols,957,6,2,436,51.1043,7,6,3647,57825,SAT,1.4347,400,400,373,400,0,27,1.0,0.93,1.0,1.0,1.0,1.0,0.875,75.0,0.0,,7,6,3647,57825,SAT,1.2468,400,400,385,400,0,15,1.00,0.96,1.00,1.00,1.00,1.00,0.875
coffeemachine_3_3,5795,3,3,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0729,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1078,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.41666666666666663
coffeemachine_7_200,6434,7,200,6 states,8 symbols,1954,9,0,909,74.616,7,6,6958,114683,SAT,1.5824,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,0.0,,7,6,6958,114683,SAT,2.4115,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0763,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1018,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.41666666666666663
coffeemachine_0_50,3681,0,50,6 states,8 symbols,489,9,0,234,1.5836,7,6,2233,33683,SAT,0.3617,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,7,6,2233,33683,SAT,0.8305,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_6_25,9998,6,25,6 states,8 symbols,228,6,1,82,0.1328,6,5,930,10770,SAT,0.1963,100,100,38,99,1,62,0.97,0.38,0.99,0.5,0.7,0.7,0.6805555555555556,85.71,0.0,,6,5,930,10770,SAT,0.3647,100,100,59,98,2,41,0.97,0.59,0.98,0.70,0.80,0.80,0.6805555555555556
coffeemachine_5_0,6578,5,0,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.074,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1149,44,44,36,40,4,8,0.90,0.82,0.91,0.90,0.90,0.90,0.41666666666666663
coffeemachine_8_400,1306,8,400,6 states,8 symbols,3788,8,1,1516,308.5874,7,6,11207,187523,SAT,3.0435,1600,1600,1515,1600,0,85,1.0,0.95,1.0,1.0,1.0,1.0,0.9166666666666666,88.89,0.0,,7,6,11207,187523,SAT,3.0226,1600,1600,1534,1600,0,66,1.00,0.96,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_9_100,6919,9,100,6 states,8 symbols,982,7,2,424,18.1928,7,6,3563,56483,SAT,0.9423,400,400,347,400,0,53,1.0,0.87,1.0,0.9,0.9,0.9,0.9166666666666666,77.78,0.0,,7,6,3563,56483,SAT,1.2305,400,400,371,400,0,29,1.00,0.93,1.00,1.00,1.00,1.00,0.9166666666666666
coffeemachine_2_0,5315,2,0,6 states,8 symbols,58,3,3,26,0.011,5,4,435,3717,SAT,0.0906,44,44,40,34,10,4,0.8,0.91,0.77,0.9,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1060,44,44,43,35,9,1,0.83,0.98,0.80,0.90,0.90,0.90,0.41666666666666663
coffeemachine_6_0,9998,6,0,6 states,8 symbols,58,3,3,26,0.0113,5,4,435,3717,SAT,0.0867,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.0950,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.41666666666666663
coffeemachine_9_6,2925,9,6,6 states,8 symbols,58,3,3,26,0.0111,5,4,435,3717,SAT,0.0741,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1014,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.41666666666666663
coffeemachine_1_3,8014,1,3,6 states,8 symbols,58,3,3,26,0.0114,5,4,435,3717,SAT,0.079,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.4166666666666666,50.0,0.0,,5,4,435,3717,SAT,0.1077,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.41666666666666663
