File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_8_6,5553,8,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.107,5,4,445,3839,SAT,0.0895,44,44,32,39,5,12,0.86,0.73,0.89,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0924,44,44,37,34,10,7,0.79,0.84,0.77,0.80,0.80,0.80,0.46875
coffeemachine_0_0,3681,0,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1269,5,4,445,3839,SAT,0.0846,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0917,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.46875
coffeemachine_3_25,5795,3,25,6 states,8 symbols,218,9,0,75,8,28,4,0,0.3575,7,6,1120,14603,SAT,0.2592,100,100,100,100,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,100.0,311.11,,7,6,1120,14603,SAT,0.3903,100,100,100,100,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.875
coffeemachine_0_100,1185,0,100,6 states,8 symbols,970,6,0,472,8,0,4,0,7.3382,7,6,3899,61949,SAT,0.8453,400,400,370,398,2,30,0.99,0.93,0.99,1.0,1.0,1.0,0.875,100.0,0.0,,7,6,3899,61949,SAT,1.0669,400,400,368,397,3,32,0.99,0.92,0.99,1.00,1.00,1.00,0.875
coffeemachine_0_3,3681,0,3,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1136,5,4,445,3839,SAT,0.0929,44,44,37,38,6,7,0.86,0.84,0.86,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0730,44,44,42,38,6,2,0.88,0.95,0.86,0.90,0.90,0.90,0.46875
coffeemachine_8_100,1306,8,100,6 states,8 symbols,1007,6,0,501,8,0,4,0,6.3468,7,6,4102,65429,SAT,0.6918,400,400,379,400,0,21,1.0,0.95,1.0,1.0,1.0,1.0,0.8333333333333334,100.0,0.0,,7,6,4102,65429,SAT,1.0516,400,400,378,400,0,22,1.00,0.94,1.00,1.00,1.00,1.00,0.8333333333333334
coffeemachine_3_6,5795,3,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1013,5,4,445,3839,SAT,0.0905,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0721,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.46875
coffeemachine_4_6,8307,4,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.11,5,4,445,3839,SAT,0.0794,44,44,31,38,6,13,0.84,0.7,0.86,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0686,44,44,38,32,12,6,0.76,0.86,0.73,0.80,0.80,0.80,0.46875
coffeemachine_9_6,2925,9,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1135,5,4,445,3839,SAT,0.0772,44,44,37,35,9,7,0.8,0.84,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0711,44,44,39,37,7,5,0.85,0.89,0.84,0.90,0.90,0.90,0.46875
coffeemachine_5_50,6578,5,50,6 states,8 symbols,490,6,0,238,8,5,4,0,0.9207,7,6,2261,33869,SAT,0.3525,200,200,154,200,0,46,1.0,0.77,1.0,0.9,0.9,0.9,0.75,100.0,83.33,,7,6,2261,33869,SAT,0.4653,200,200,176,199,1,24,0.99,0.88,0.99,0.90,0.90,0.90,0.75
coffeemachine_6_6,9998,6,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.103,5,4,445,3839,SAT,0.0767,44,44,39,35,9,5,0.81,0.89,0.8,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0930,44,44,39,38,6,5,0.87,0.89,0.86,0.90,0.90,0.90,0.46875
coffeemachine_1_200,8822,1,200,6 states,8 symbols,1957,11,0,389,8,28,4,0,88.909,7,6,3318,52479,SAT,1.3672,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,254.55,,7,6,3318,52479,SAT,0.7739,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
coffeemachine_4_200,4047,4,200,6 states,8 symbols,1861,10,0,621,8,5,4,0,80.9803,7,6,4942,80221,SAT,1.4246,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,100.0,50.0,,7,6,4942,80221,SAT,1.2898,800,800,800,787,13,0,0.98,1.00,0.98,1.00,1.00,1.00,0.9583333333333334
coffeemachine_4_50,8307,4,50,6 states,8 symbols,485,7,1,205,8,6,4,0,1.2495,8,7,2416,40125,SAT,0.4913,200,200,109,199,1,91,0.99,0.55,0.99,0.7,0.8,0.8,0.6577380952380952,87.5,75.0,,8,7,2416,40125,SAT,0.8120,200,200,175,193,7,25,0.96,0.88,0.96,0.90,0.90,0.90,0.7351190476190477
