File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,Structural Difference_2,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
Random1_7_6,1335,7,6,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.2019,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2365,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_100,3319,3,100,7 states,6 symbols,1100,9,0,517,10.0418,8,7,4528,85342,SAT,0.6324,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_1_3,9563,1,3,7 states,6 symbols,57,3,6,24,0.0234,7,6,469,5789,SAT,0.2024,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2604,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_2_50,1249,2,50,7 states,6 symbols,554,10,0,277,1.7054,8,7,2608,47790,SAT,0.487,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2608,47790,SAT,1.2336,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_6_6,4424,6,6,7 states,6 symbols,57,3,6,24,0.0236,7,6,469,5789,SAT,0.6389,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2613,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_9_3,509,9,3,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.2171,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2775,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_4_6,7794,4,6,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2975,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3594,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_7_1,1335,7,1,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.2012,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.5165,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_1,4424,6,1,7 states,6 symbols,57,3,6,24,0.0226,7,6,469,5789,SAT,0.1943,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.4527,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_2_12,1249,2,12,7 states,6 symbols,92,4,7,45,0.0513,10,9,1060,19167,SAT,2.4091,48,48,0,47,1,48,0.0,0.0,0.98,0.0,0.5,0.5,0.2116402116402116,36.36,0.0,0.21520146520146521,,10,9,1060,19167,SAT,7.3042,48,48,10,47,1,38,0.91,0.21,0.98,0.30,0.60,0.60
Random1_7_100,143,7,100,7 states,6 symbols,1110,7,0,531,12.2254,8,7,4640,87284,SAT,1.0462,400,400,400,397,3,0,0.99,1.0,0.99,1.0,1.0,1.0,,100.0,0.0,0.9523809523809523,,,,,,,,,,,,,,,,,,,
Random1_5_12,6644,5,12,7 states,6 symbols,98,4,5,45,0.0467,8,7,752,11238,SAT,0.3316,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.5714285714285714,44.44,0.0,0.5714285714285714,,8,7,752,11238,SAT,0.6994,48,48,8,48,0,40,1.00,0.17,1.00,0.30,0.60,0.60
Random1_0_3,8580,0,3,7 states,6 symbols,57,3,6,24,0.0228,7,6,469,5789,SAT,0.2107,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3785,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_25,8580,0,25,7 states,6 symbols,251,9,3,82,0.6438,9,8,1233,22561,SAT,0.6957,100,100,9,100,0,91,1.0,0.09,1.0,0.2,0.5,0.5,0.7287784679089027,75.0,0.0,0.7287784679089027,,9,8,1233,22561,SAT,1.4571,100,100,28,99,1,72,0.97,0.28,0.99,0.40,0.60,0.60
Random1_8_3,7796,8,3,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2308,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3901,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_9_1,509,9,1,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2001,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3744,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_3_3,9917,3,3,7 states,6 symbols,57,3,6,24,0.022,7,6,469,5789,SAT,0.1928,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3662,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_0,6644,5,0,7 states,6 symbols,57,3,6,24,0.0226,7,6,469,5789,SAT,0.1953,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3627,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_100,3646,0,100,7 states,6 symbols,1119,9,0,495,14.9323,8,7,4352,81888,SAT,0.8868,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_9_12,509,9,12,7 states,6 symbols,101,5,6,46,0.0499,9,8,909,15235,SAT,0.5308,48,48,5,45,3,43,0.62,0.1,0.94,0.2,0.5,0.5,0.4464285714285714,45.45,0.0,0.4464285714285714,,9,8,909,15235,SAT,1.1098,48,48,13,40,8,35,0.62,0.27,0.83,0.40,0.60,0.60
Random1_3_0,9917,3,0,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.2026,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3295,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_100,3548,8,100,7 states,6 symbols,1079,8,0,467,12.5455,8,7,4128,77364,SAT,1.3385,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_8_6,7796,8,6,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.2421,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3458,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_2_3,1249,2,3,7 states,6 symbols,57,3,6,24,0.0221,7,6,469,5789,SAT,0.2007,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3591,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_8_12,7796,8,12,7 states,6 symbols,97,8,1,45,0.0589,8,7,752,11238,SAT,0.2991,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.5238095238095238,88.89,0.0,0.5238095238095238,,8,7,752,11238,SAT,0.6190,48,48,8,47,1,40,0.89,0.17,0.98,0.30,0.60,0.60
Random1_9_50,509,9,50,7 states,6 symbols,552,8,0,276,1.2186,8,7,2600,47377,SAT,0.5489,200,200,200,194,6,0,0.97,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,0.0,1.0,,8,7,2600,47377,SAT,0.9418,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_9_0,509,9,0,7 states,6 symbols,57,3,6,24,0.0229,7,6,469,5789,SAT,0.2061,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.4446,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_1_50,9563,1,50,7 states,6 symbols,544,6,1,258,1.3353,9,8,2817,56775,SAT,1.0235,200,200,117,200,0,83,1.0,0.58,1.0,0.7,0.8,0.8,0.8482142857142857,85.71,0.0,0.8482142857142857,,9,8,2817,56775,SAT,2.2004,200,200,147,200,0,53,1.00,0.73,1.00,0.80,0.90,0.90
Random1_2_25,1249,2,25,7 states,6 symbols,256,6,3,111,0.3766,11,10,1958,43107,SAT,54.3908,100,100,18,100,0,82,1.0,0.18,1.0,0.3,0.6,0.6,0.4926108374384236,66.67,0.0,0.36428571428571427,,11,10,1958,43107,SAT,78.3224,100,100,21,100,0,79,1.00,0.21,1.00,0.30,0.60,0.60
Random1_9_25,509,9,25,7 states,6 symbols,260,9,0,87,0.3353,8,7,1088,17832,SAT,0.3456,100,100,100,90,10,0,0.91,1.0,0.9,1.0,0.9,0.9,0.8095238095238095,100.0,0.0,0.8095238095238095,,8,7,1088,17832,SAT,0.6376,100,100,100,80,20,0,0.83,1.00,0.80,0.90,0.90,0.90
Random1_8_0,7796,8,0,7 states,6 symbols,57,3,6,24,0.0223,7,6,469,5789,SAT,0.2016,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3465,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_5_6,6644,5,6,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.1974,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3357,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_0_50,8580,0,50,7 states,6 symbols,560,8,0,225,1.4793,8,7,2192,39370,SAT,0.4946,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2192,39370,SAT,1.1022,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_2_0,1249,2,0,7 states,6 symbols,57,3,6,24,0.0226,7,6,469,5789,SAT,0.1974,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3193277310924369,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3354,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_1_1,9563,1,1,7 states,6 symbols,57,3,6,24,0.0231,7,6,469,5789,SAT,0.206,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3482,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_7_0,1335,7,0,7 states,6 symbols,57,3,6,24,0.0224,7,6,469,5789,SAT,0.2028,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2878,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_3,4424,6,3,7 states,6 symbols,57,3,6,24,0.0227,7,6,469,5789,SAT,0.7126,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3631,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_8_50,7796,8,50,7 states,6 symbols,537,8,0,240,1.1483,8,7,2312,41725,SAT,0.4639,200,200,200,192,8,0,0.96,1.0,0.96,1.0,1.0,1.0,0.9047619047619048,100.0,0.0,0.9047619047619048,,8,7,2312,41725,SAT,1.0131,200,200,200,189,11,0,0.95,1.00,0.94,1.00,1.00,1.00
Random1_3_12,9917,3,12,7 states,6 symbols,98,3,5,47,0.0573,8,7,768,11424,SAT,0.2784,48,48,6,44,4,42,0.6,0.12,0.92,0.2,0.5,0.5,0.3333333333333333,37.5,0.0,0.3333333333333333,,8,7,768,11424,SAT,0.5274,48,48,23,42,6,25,0.79,0.48,0.88,0.60,0.70,0.70
Random1_6_50,4424,6,50,7 states,6 symbols,534,6,1,245,1.17,8,7,2352,42382,SAT,0.7015,200,200,28,199,1,172,0.97,0.14,0.99,0.2,0.6,0.6,0.7142857142857143,85.71,0.0,0.7142857142857143,,8,7,2352,42382,SAT,1.1057,200,200,67,198,2,133,0.97,0.34,0.99,0.50,0.70,0.70
Random1_9_100,5936,9,100,7 states,6 symbols,1100,7,0,528,10.931,8,7,4616,86813,SAT,0.5964,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_2_100,2941,2,100,7 states,6 symbols,1103,8,0,458,12.8424,8,7,4056,75951,SAT,0.9421,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_7_12,1335,7,12,7 states,6 symbols,95,5,1,36,0.0363,7,6,553,6935,SAT,0.2175,48,48,7,47,1,41,0.88,0.15,0.98,0.3,0.6,0.6,0.7222222222222222,83.33,0.0,0.7222222222222222,,7,6,553,6935,SAT,0.3905,48,48,10,48,0,38,1.00,0.21,1.00,0.30,0.60,0.60
Random1_6_0,4424,6,0,7 states,6 symbols,57,3,6,24,0.0239,7,6,469,5789,SAT,0.2038,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.3311,36,36,1,36,0,35,1.00,0.03,1.00,0.10,0.50,0.50
Random1_6_25,4424,6,25,7 states,6 symbols,240,6,0,119,0.1834,7,6,1134,16895,SAT,0.2683,100,100,0,100,0,100,0.0,0.0,0.0,0.0,0.5,0.0,0.7222222222222222,100.0,0.0,0.7222222222222222,,7,6,1134,16895,SAT,0.5783,100,100,14,100,0,86,1.00,0.14,1.00,0.20,0.60,0.60
Random1_4_50,7794,4,50,7 states,6 symbols,551,7,0,258,1.3332,8,7,2456,44423,SAT,0.6975,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,,8,7,2456,44423,SAT,1.1918,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
Random1_1_6,9563,1,6,7 states,6 symbols,57,3,6,24,0.0222,7,6,469,5789,SAT,0.2045,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.3095238095238095,33.33,0.0,0.30952380952380953,,7,6,469,5789,SAT,0.2888,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00
Random1_6_100,5325,6,100,7 states,6 symbols,1095,8,0,437,11.6489,8,7,3888,72654,SAT,1.1766,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
Random1_5_50,6644,5,50,7 states,6 symbols,563,8,0,226,1.5821,8,7,2200,39527,SAT,0.5562,200,200,200,195,5,0,0.98,1.0,0.97,1.0,1.0,1.0,0.9523809523809524,100.0,0.0,0.9523809523809523,,8,7,2200,39527,SAT,1.7462,200,200,200,196,4,0,0.98,1.00,0.98,1.00,1.00,1.00
