File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random2_0_37,9327,0,37,12 states,12 symbols,573,12,12,283,3.0423,16,15,7616,243407,SAT,969.7936,148,148,0,148,0,148,0.0,0.0,0.0,0.0,0.5,0.0,0.3562499999999999,50.0,0.0,,16,15,7616,243407,SAT,1186.8581,148,148,20,148,0,128,1.00,0.14,1.00,0.20,0.60,0.60,0.35624999999999996
Random2_7_0,216,7,0,12 states,12 symbols,274,13,14,129,1.0825,17,16,5678,169972,SAT,1332.9081,96,96,1,96,0,95,1.0,0.01,1.0,0.0,0.5,0.5,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1499.0817,96,96,7,91,5,89,0.58,0.07,0.95,0.10,0.50,0.50,0.3326612903225806
Random2_1_18,2970,1,18,12 states,12 symbols,274,13,14,129,1.0692,17,16,5678,169972,SAT,1375.0283,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3908811475409836,48.15,0.0,,17,16,5678,169972,SAT,1507.0306,96,96,13,92,4,83,0.76,0.14,0.96,0.20,0.50,0.50,0.3326612903225806
Random2_2_0,8690,2,0,12 states,12 symbols,274,13,14,129,1.0755,17,16,5678,169972,SAT,1293.205,96,96,1,95,1,95,0.5,0.01,0.99,0.0,0.5,0.5,0.240255376344086,48.15,0.0,,17,16,5678,169972,SAT,1507.6412,96,96,3,92,4,93,0.43,0.03,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_3_0,9989,3,0,12 states,12 symbols,274,13,14,129,1.0768,17,16,5678,169972,SAT,1327.3892,96,96,0,96,0,96,0.0,0.0,0.0,0.0,0.5,0.0,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1498.8066,96,96,4,94,2,92,0.67,0.04,0.98,0.10,0.50,0.50,0.3326612903225806
Random2_2_300,8690,2,300,12 states,12 symbols,6222,12,0,2886,103.4979,13,12,39559,1235789,SAT,605.1492,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,13,12,39559,1235789,SAT,864.8291,1200,1200,1200,1200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random2_9_75,3485,9,75,12 states,12 symbols,1400,13,0,673,7.2891,13,12,10790,313306,SAT,412.9195,300,300,47,297,3,253,0.94,0.16,0.99,0.3,0.6,0.6,0.8843085106382979,100.0,0.0,,13,12,10790,313306,SAT,660.8197,300,300,156,294,6,144,0.96,0.52,0.98,0.70,0.80,0.80,0.8541666666666666
Random2_5_600,6029,5,600,12 states,12 symbols,12345,14,0,5316,1898.4874,13,12,71149,2249775,SAT,911.9828,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,
Random2_2_9,8690,2,9,12 states,12 symbols,274,13,14,129,1.0774,17,16,5678,169972,SAT,1286.1982,96,96,0,95,1,96,0.0,0.0,0.99,0.0,0.5,0.5,0.3326612903225806,48.15,0.0,,17,16,5678,169972,SAT,1488.0914,96,96,3,92,4,93,0.43,0.03,0.96,0.10,0.50,0.50,0.3326612903225806
Random2_4_300,8332,4,300,12 states,12 symbols,6221,12,0,3091,117.7086,13,12,42224,1321274,SAT,710.1595,1200,1200,1200,1200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,13,12,42224,1321274,SAT,898.3061,1200,1200,1200,1200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
