File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random1_3_100,3319,3,100,7 states,6 symbols,1100,9,0,517,6,0,0,0,14.3724,8,7,4528,85342,SAT,1.1287,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_0_12,8580,0,12,7 states,6 symbols,96,5,0,48,6,11,0,0,0.0933,7,6,637,8277,SAT,0.2044,48,48,30,46,2,18,0.94,0.62,0.96,0.8,0.8,0.8,0.7222222222222222,100.0,220.0,,7,6,637,8277,SAT,0.2672,48,48,32,46,2,16,0.94,0.67,0.96,0.80,0.80,0.80,0.7222222222222222
Random1_1_0,9563,1,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.091,7,6,455,5647,SAT,0.1636,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2130,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_9_3,509,9,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0971,7,6,455,5647,SAT,0.1679,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1954,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_6_25,4424,6,25,7 states,6 symbols,240,6,0,119,6,3,0,0,0.2649,7,6,1134,16895,SAT,0.2737,100,100,0,100,0,100,0.0,0.0,0.0,0.0,0.5,0.0,0.7222222222222222,100.0,50.0,,7,6,1134,16895,SAT,0.4051,100,100,14,100,0,86,1.00,0.14,1.00,0.20,0.60,0.60,0.7222222222222222
Random1_3_1,9917,3,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.089,7,6,455,5647,SAT,0.1681,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2165,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_7_25,1335,7,25,7 states,6 symbols,253,6,2,118,6,10,0,0,0.4991,7,6,1127,16971,SAT,0.2284,100,100,9,100,0,91,1.0,0.09,1.0,0.2,0.5,0.5,0.7738095238095238,75.0,125.0,,7,6,1127,16971,SAT,0.3447,100,100,25,100,0,75,1.00,0.25,1.00,0.40,0.60,0.60,0.7738095238095238
Random1_6_3,4424,6,3,7 states,6 symbols,57,3,7,22,6,73,0,0,1.527,7,6,455,5647,SAT,0.1668,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2101,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_4_25,7794,4,25,7 states,6 symbols,256,8,0,119,6,30,0,0,0.4488,8,7,1344,22728,SAT,0.3423,100,100,100,93,7,0,0.93,1.0,0.93,1.0,1.0,1.0,0.9047619047619048,100.0,375.0,,8,7,1344,22728,SAT,0.5212,100,100,100,89,11,0,0.90,1.00,0.89,0.90,0.90,0.90,0.9047619047619048
Random1_6_100,5325,6,100,7 states,6 symbols,1095,8,0,437,6,0,0,0,9.0348,8,7,3888,72654,SAT,1.2768,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_7_50,1335,7,50,7 states,6 symbols,552,8,0,212,6,22,0,0,1.7281,8,7,2088,37329,SAT,0.4425,200,200,200,196,4,0,0.98,1.0,0.98,1.0,1.0,1.0,0.9523809523809524,100.0,275.0,,8,7,2088,37329,SAT,0.7042,200,200,200,193,7,0,0.97,1.00,0.96,1.00,1.00,1.00,0.9523809523809523
Random1_4_100,9610,4,100,7 states,6 symbols,1088,8,0,492,6,0,0,0,13.3539,8,7,4328,81289,SAT,1.2441,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_0_3,8580,0,3,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1092,7,6,455,5647,SAT,0.1722,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2140,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_6_6,4424,6,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.4542,7,6,455,5647,SAT,0.1774,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2106,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_8_1,7796,8,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0908,7,6,455,5647,SAT,0.1649,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2135,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_4_50,7794,4,50,7 states,6 symbols,551,7,0,258,6,9,0,0,1.4525,8,7,2456,44423,SAT,0.5168,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,128.57,,8,7,2456,44423,SAT,0.8204,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random1_2_100,2941,2,100,7 states,6 symbols,1103,8,0,458,6,8,0,0,15.6877,8,7,4056,75951,SAT,1.0078,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_1_50,9563,1,50,7 states,6 symbols,544,7,0,262,6,21,0,0,1.716,8,7,2488,45051,SAT,0.5171,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,300.0,,8,7,2488,45051,SAT,0.8689,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random1_2_50,1249,2,50,7 states,6 symbols,554,9,0,277,6,14,0,0,1.5221,8,7,2608,47662,SAT,0.4997,200,200,200,186,14,0,0.93,1.0,0.93,1.0,1.0,1.0,0.9047619047619048,100.0,155.56,,8,7,2608,47662,SAT,0.8471,200,200,200,186,14,0,0.93,1.00,0.93,1.00,1.00,1.00,0.9047619047619048
Random1_6_1,4424,6,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0885,7,6,455,5647,SAT,0.1662,36,36,1,36,0,35,1.0,0.03,1.0,0.1,0.5,0.5,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2178,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_9_100,5936,9,100,7 states,6 symbols,1100,7,0,528,6,14,0,0,9.2365,8,7,4616,86813,SAT,0.5391,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,100.0,200.0,,,,,,,,,,,,,,,,,,,,1.0
Random1_8_12,7796,8,12,7 states,6 symbols,97,6,3,35,6,81,0,0,0.1242,8,7,672,9668,SAT,0.2689,48,48,0,48,0,48,0.0,0.0,0.0,0.0,0.5,0.0,0.4880952380952381,66.67,900.0,,8,7,672,9668,SAT,0.3923,48,48,1,48,0,47,1.00,0.02,1.00,0.00,0.50,0.50,0.4880952380952381
Random1_7_6,1335,7,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.1092,7,6,455,5647,SAT,0.1699,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1981,36,36,3,36,0,33,1.00,0.08,1.00,0.20,0.50,0.50,0.5158730158730158
Random1_0_25,8580,0,25,7 states,6 symbols,251,7,2,109,6,27,0,0,0.4548,9,8,1476,27448,SAT,0.6643,100,100,4,100,0,96,1.0,0.04,1.0,0.1,0.5,0.5,0.6696428571428572,77.78,300.0,,9,8,1476,27448,SAT,0.9675,100,100,20,100,0,80,1.00,0.20,1.00,0.30,0.60,0.60,0.6696428571428572
Random1_2_6,1249,2,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0994,7,6,455,5647,SAT,0.1741,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2144,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.5158730158730158
Random1_0_50,8580,0,50,7 states,6 symbols,560,8,0,225,6,10,0,0,1.6113,8,7,2192,39370,SAT,0.4964,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,125.0,,8,7,2192,39370,SAT,0.8782,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random1_3_25,9917,3,25,7 states,6 symbols,250,9,1,89,6,14,0,0,0.571,8,7,1104,18274,SAT,0.3524,100,100,74,100,0,26,1.0,0.74,1.0,0.9,0.9,0.9,0.7619047619047619,90.0,140.0,,8,7,1104,18274,SAT,0.5040,100,100,92,99,1,8,0.99,0.92,0.99,1.00,1.00,1.00,0.7619047619047619
Random1_6_50,4424,6,50,7 states,6 symbols,534,6,1,245,6,8,0,0,1.3191,8,7,2352,42382,SAT,0.6188,200,200,28,199,1,172,0.97,0.14,0.99,0.2,0.6,0.6,0.7142857142857143,85.71,114.29,,8,7,2352,42382,SAT,0.8595,200,200,67,198,2,133,0.97,0.34,0.99,0.50,0.70,0.70,0.7142857142857143
Random1_5_0,6644,5,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.087,7,6,455,5647,SAT,0.1599,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.1931,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_9_1,509,9,1,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0931,7,6,455,5647,SAT,0.1709,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2081,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_2_0,1249,2,0,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0943,7,6,455,5647,SAT,0.1745,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2102,36,36,0,36,0,36,0.00,0.00,0.00,0.00,0.50,0.00,0.5158730158730158
Random1_9_6,509,9,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0905,7,6,455,5647,SAT,0.1745,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2119,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_5_6,6644,5,6,7 states,6 symbols,57,3,7,22,6,73,0,0,0.0829,7,6,455,5647,SAT,0.1555,36,36,0,36,0,36,0.0,0.0,0.0,0.0,0.5,0.0,0.5158730158730158,30.0,730.0,,7,6,455,5647,SAT,0.2128,36,36,2,36,0,34,1.00,0.06,1.00,0.10,0.50,0.50,0.5158730158730158
Random1_9_12,509,9,12,7 states,6 symbols,101,7,3,44,6,11,0,0,0.0957,8,7,744,11209,SAT,0.2841,48,48,1,48,0,47,1.0,0.02,1.0,0.0,0.5,0.5,0.6190476190476191,70.0,110.0,,8,7,744,11209,SAT,0.3767,48,48,4,48,0,44,1.00,0.08,1.00,0.20,0.50,0.50,0.6190476190476191
Random1_1_100,1842,1,100,7 states,6 symbols,1122,8,0,543,6,1,0,0,8.4415,8,7,4736,89296,SAT,0.5754,400,400,331,400,0,69,1.0,0.83,1.0,0.9,0.9,0.9,0.9523809523809524,100.0,12.5,,,,,,,,,,,,,,,,,,,,0.9523809523809523
