File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_8_0,7727,8,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.4944,8,7,3744,57600,SAT,0.8144,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.4017857142857143,94.59
openSSL_2_18,180,2,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.8754,8,7,3744,57600,SAT,0.7871,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_4_4,6940,4,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.5713,8,7,3744,57600,SAT,0.9608,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.2874149659863946,94.59
openSSL_7_75,312,7,75,6 states,20 symbols,693,124,3,346,102,165502,,,337.7389,7,6,4830,83072,SAT,0.6125,300,300,116,242,58,184,0.67,0.39,0.81,0.50,0.60,0.60,0.7952961672473868,97.64
openSSL_4_150,6940,4,150,6 states,20 symbols,1511,83,3,740,112,56860,,,685.9171,7,6,7588,126334,SAT,1.2352,600,600,227,468,132,373,0.63,0.38,0.78,0.50,0.60,0.60,0.747096399535424,96.51
openSSL_6_37,9758,6,37,6 states,20 symbols,258,58,3,128,102,35924,,,19.8904,7,6,3304,50444,SAT,0.5103,148,148,68,117,31,80,0.69,0.46,0.79,0.60,0.60,0.60,0.8571428571428571,95.08
openSSL_9_75,8768,9,75,6 states,20 symbols,677,113,3,337,104,122530,,,206.5070,7,6,4767,80914,SAT,0.6925,300,300,116,251,49,184,0.70,0.39,0.84,0.50,0.60,0.60,0.8571428571428571,97.41
openSSL_9_37,8768,9,37,6 states,20 symbols,255,56,4,126,94,34331,,,16.6368,7,6,3290,50106,SAT,0.4177,148,148,54,124,24,94,0.69,0.36,0.84,0.50,0.60,0.60,0.8809523809523809,93.33
openSSL_0_9,5989,0,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.7638,8,7,3744,57600,SAT,0.9882,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.33163265306122447,94.59
openSSL_3_4,6240,3,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8084,8,7,3744,57600,SAT,0.8432,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.42410714285714285,94.59
openSSL_5_37,3796,5,37,6 states,20 symbols,256,60,3,127,99,39557,,,21.5443,7,6,3297,50520,SAT,0.5120,148,148,66,115,33,82,0.67,0.45,0.78,0.50,0.60,0.60,0.8916957026713124,95.24
openSSL_9_150,8768,9,150,6 states,20 symbols,1481,41,0,736,112,12126,,,157.2889,6,5,6186,87387,SAT,0.6975,600,600,235,600,0,365,1.00,0.39,1.00,0.60,0.70,0.70,0.7857142857142857,100.00
openSSL_6_150,9758,6,150,6 states,20 symbols,1508,106,0,753,111,101825,,,1042.4406,6,5,6288,93563,SAT,0.7079,600,600,224,600,0,376,1.00,0.37,1.00,0.50,0.70,0.70,0.8642857142857143,100.00
openSSL_8_18,7727,8,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5158,8,7,3744,57600,SAT,0.9023,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3537414965986394,94.59
openSSL_1_37,9292,1,37,6 states,20 symbols,256,57,4,126,100,35166,,,19.1553,10,9,6170,117059,SAT,43.5761,148,148,148,69,79,0,0.65,1.00,0.47,0.80,0.70,0.70,0.5791090629800307,93.44
openSSL_4_9,6940,4,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.5200,8,7,3744,57600,SAT,0.7930,112,112,112,68,44,0,0.72,1.00,0.61,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_5_18,3796,5,18,6 states,20 symbols,153,35,2,75,89,11631,,,6.5404,8,7,3744,57600,SAT,0.9279,112,112,112,72,40,0,0.74,1.00,0.64,0.80,0.80,0.80,0.30952380952380953,94.59
openSSL_7_4,312,7,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.4250,8,7,3744,57600,SAT,0.8115,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.4421768707482993,94.59
