File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
coffeemachine_5_200,2212,5,200,6 states,8 symbols,1912,19,0,6,8,7,4,0,126.2358,800,800,800,800,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,36.84,800,800,800,800,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_2_100,9825,2,100,6 states,8 symbols,957,18,1,6,8,11,4,0,22.5047,400,400,373,400,0,27,1.0,0.93,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,57.89,400,400,388,400,0,12,1.00,0.97,1.00,1.00,1.00,1.00
coffeemachine_4_100,4047,4,100,6 states,8 symbols,941,19,0,6,8,10,4,0,24.0334,400,400,400,400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,52.63,400,400,400,400,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_1_50,8014,1,50,6 states,8 symbols,473,18,1,6,8,24,4,0,2.2038,200,200,190,200,0,10,1.0,0.95,1.0,1.0,1.0,1.0,0.9583333333333334,94.74,126.32,200,200,194,200,0,6,1.00,0.97,1.00,1.00,1.00,1.00
coffeemachine_2_12,5315,2,12,6 states,8 symbols,70,13,3,7,8,146,3,0,0.151,48,48,23,42,6,25,0.79,0.48,0.88,0.6,0.7,0.7,0.3920454545454546,81.25,912.5,48,48,34,41,7,14,0.83,0.71,0.85,0.80,0.80,0.80
coffeemachine_6_6,9998,6,6,6 states,8 symbols,58,13,3,8,8,154,3,0,0.1352,44,44,23,39,5,21,0.82,0.52,0.89,0.6,0.7,0.7,0.2980072463768116,81.25,962.5,44,44,31,39,5,13,0.86,0.70,0.89,0.80,0.80,0.80
coffeemachine_0_50,3681,0,50,6 states,8 symbols,489,19,0,6,8,32,4,0,2.9435,200,200,200,200,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,168.42,200,200,200,200,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_7_400,6434,7,400,6 states,8 symbols,3764,19,0,6,8,0,4,0,500.243,1600,1600,1600,1600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1600,1600,1600,1600,0,0,1.00,1.00,1.00,1.00,1.00,1.00
coffeemachine_7_25,8829,7,25,6 states,8 symbols,212,12,2,5,8,35,3,0,0.4187,100,100,46,100,0,54,1.0,0.46,1.0,0.6,0.7,0.7,0.6805555555555556,85.71,250.0,100,100,57,100,0,43,1.00,0.57,1.00,0.70,0.80,0.80
coffeemachine_7_50,8829,7,50,6 states,8 symbols,468,14,1,5,8,34,4,0,1.437,200,200,100,200,0,100,1.0,0.5,1.0,0.7,0.8,0.8,0.8486842105263157,93.33,226.67,200,200,133,200,0,67,1.00,0.67,1.00,0.80,0.80,0.80
coffeemachine_6_25,9998,6,25,6 states,8 symbols,228,13,1,5,8,25,4,0,0.3362,100,100,38,100,0,62,1.0,0.38,1.0,0.6,0.7,0.7,0.7291666666666667,92.86,178.57,100,100,59,100,0,41,1.00,0.59,1.00,0.70,0.80,0.80
