File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_1_9,9292,1,9,6 states,20 symbols,153,15,6,76,0.2051,7,6,2940,40284,SAT,0.3542,112.0,112.0,49.0,91.0,21.0,63.0,0.7,0.44,0.81,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.3993,112,112,74,83,29,38,0.72,0.66,0.74,0.70,0.70,0.70,0.38095238095238093
openSSL_6_600,6237,6,600,6 states,20 symbols,6111,11,0,1878,882.6375,7,6,15554,255544,SAT,2.3124,2400.0,2400.0,2400.0,2344.0,56.0,0.0,0.98,1.0,0.98,1.0,1.0,1.0,0.9047619047619048,100.0,0.0,,7,6,15554,255544,SAT,1.6543,2400,2400,1039,2352,48,1361,0.96,0.43,0.98,0.60,0.70,0.70,0.8785714285714286
openSSL_6_4,9758,6,4,6 states,20 symbols,153,15,6,76,0.194,7,6,2940,40284,SAT,0.4048,112.0,112.0,112.0,59.0,53.0,0.0,0.68,1.0,0.53,0.8,0.8,0.8,0.4819976771196283,71.43,0.0,,7,6,2940,40284,SAT,0.3702,112,112,73,73,39,39,0.65,0.65,0.65,0.70,0.70,0.70,0.38095238095238093
openSSL_3_4,6240,3,4,6 states,20 symbols,153,15,6,76,0.1946,7,6,2940,40284,SAT,0.3581,112.0,112.0,112.0,65.0,47.0,0.0,0.7,1.0,0.58,0.8,0.8,0.8,0.5476190476190477,71.43,0.0,,7,6,2940,40284,SAT,0.7312,112,112,80,67,45,32,0.64,0.71,0.60,0.70,0.70,0.70,0.38095238095238093
openSSL_2_75,180,2,75,6 states,20 symbols,681,9,1,336,1.7359,6,5,3786,49955,SAT,0.3637,300.0,300.0,107.0,299.0,1.0,193.0,0.99,0.36,1.0,0.5,0.7,0.7,0.7595238095238095,90.0,0.0,,6,5,3786,49955,SAT,0.4226,300,300,183,293,7,117,0.96,0.61,0.98,0.70,0.80,0.80,0.7595238095238095
openSSL_1_37,9292,1,37,6 states,20 symbols,256,14,8,127,0.7667,9,8,5121,84747,SAT,1.5701,148.0,148.0,148.0,91.0,57.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.2751322751322751,63.64,0.0,,9,8,5121,84747,SAT,1.5946,148,148,98,99,49,50,0.67,0.66,0.67,0.70,0.70,0.70,0.4199134199134199
openSSL_3_600,2753,3,600,6 states,20 symbols,6129,11,0,1558,860.7036,6,5,11118,157563,SAT,1.8236,2400.0,2400.0,1027.0,2247.0,153.0,1373.0,0.87,0.43,0.94,0.6,0.7,0.7,0.680952380952381,100.0,0.0,,6,5,11118,157563,SAT,0.8989,2400,2400,1035,2238,162,1365,0.86,0.43,0.93,0.60,0.70,0.70,0.680952380952381
openSSL_9_18,8768,9,18,6 states,20 symbols,153,15,6,76,0.1945,7,6,2940,40284,SAT,0.3565,112.0,112.0,45.0,92.0,20.0,67.0,0.69,0.4,0.82,0.5,0.6,0.6,0.3809523809523809,71.43,0.0,,7,6,2940,40284,SAT,0.3890,112,112,69,74,38,43,0.64,0.62,0.66,0.60,0.60,0.60,0.38095238095238093
openSSL_4_4,6940,4,4,6 states,20 symbols,153,15,6,76,0.1989,7,6,2940,40284,SAT,0.3686,112.0,112.0,112.0,68.0,44.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.5,71.43,0.0,,7,6,2940,40284,SAT,0.3947,112,112,77,74,38,35,0.67,0.69,0.66,0.70,0.70,0.70,0.38095238095238093
openSSL_3_37,6240,3,37,6 states,20 symbols,259,16,6,128,0.6942,8,7,4168,64001,SAT,0.5757,148.0,148.0,148.0,87.0,61.0,0.0,0.71,1.0,0.59,0.8,0.8,0.8,0.3979591836734694,72.73,0.0,,8,7,4168,64001,SAT,0.6076,148,148,148,74,74,0,0.67,1.00,0.50,0.80,0.80,0.80,0.33163265306122447
